CC(=O)C1CCCC1
O=C(O)C1CCCC1
C=COC1CCCC1
COC1CCCC1
O=COC1CCCC1
CCCC1CCCC1
OCC1CCCC1
CCCCC1CCCC1
CC(C)CC1CCCC1
CCC1CCCC1
CC(C)C1CCCC1
CCC(C)C1CCCC1
CC(C)(C)C1CCCC1
c1ccc(C2CCCC2)cc1
Cc1ccccc1C1CCCC1
Cc1ccc(C2CCCC2)cc1
CN(C)C1CCCC1
CCC(=O)OC1CCCC1
C=CC(=O)OC1CCCC1
CCCCCCCCCCCCCCCCCC(=O)OC1CCCC1
CC(=O)OC1CCCC1
CCCC(=O)OC1CCCC1
CC(C)C(=O)OC1CCCC1
C1CCC(OC2CCCC2)C1
C1CCC(OC2CCCC2)CC1
c1ccc(OC2CCCC2)cc1
Cc1ccccc1OC1CCCC1
Cc1ccc(OC2CCCC2)cc1
CCCCOC1CCCC1
CCC(C)(CC)OC1CCCC1
CCCC(C)OC1CCCC1
CCCOC1CCCC1
CCOC1CCCC1
CCCCCCOC1CCCC1
CC(C)(C)OC1CCCC1
CC(C)COC1CCCC1
CCCCCOC1CCCC1
C=CCOC1CCCC1
CC(C)OC1CCCC1
CCC(C)OC1CCCC1
CCC(C)COC1CCCC1
O=C(OC1CCCC1)c1ccccc1
Cc1ccccc1C(=O)OC1CCCC1
Cc1ccc(C(=O)OC2CCCC2)cc1
O=C(OC1CCCC1)C1CCCC1
O=C(OC1CCCC1)C1CCCCC1
O=C(OC1CCCC1)c1cccc(-c2ccccc2)c1
Cc1ccccc1-c1cccc(C(=O)OC2CCCC2)c1
Cc1ccc(-c2cccc(C(=O)OC3CCCC3)c2)cc1
CN(C)c1cccc(C(=O)OC2CCCC2)c1
CC(=O)c1cccc(C(=O)OC2CCCC2)c1
O=C(O)c1cccc(C(=O)OC2CCCC2)c1
O=C(OC1CCCC1)c1cccc(C2CCCC2)c1
O=C(OC1CCCC1)c1cccc(C2CCCCC2)c1
CCCc1cccc(C(=O)OC2CCCC2)c1
O=C(OC1CCCC1)c1cccc(CO)c1
CCCCc1cccc(C(=O)OC2CCCC2)c1
CC(C)Cc1cccc(C(=O)OC2CCCC2)c1
CCc1cccc(C(=O)OC2CCCC2)c1
CC(C)c1cccc(C(=O)OC2CCCC2)c1
CCC(C)c1cccc(C(=O)OC2CCCC2)c1
CC(C)(C)c1cccc(C(=O)OC2CCCC2)c1
C=COc1cccc(C(=O)OC2CCCC2)c1
COc1cccc(C(=O)OC2CCCC2)c1
O=COc1cccc(C(=O)OC2CCCC2)c1
O=C(OC1CCCC1)c1ccc(-c2ccccc2)cc1
Cc1ccccc1-c1ccc(C(=O)OC2CCCC2)cc1
Cc1ccc(-c2ccc(C(=O)OC3CCCC3)cc2)cc1
CN(C)c1ccc(C(=O)OC2CCCC2)cc1
CC(=O)c1ccc(C(=O)OC2CCCC2)cc1
O=C(O)c1ccc(C(=O)OC2CCCC2)cc1
O=C(OC1CCCC1)c1ccc(C2CCCC2)cc1
O=C(OC1CCCC1)c1ccc(C2CCCCC2)cc1
CCCc1ccc(C(=O)OC2CCCC2)cc1
O=C(OC1CCCC1)c1ccc(CO)cc1
CCCCc1ccc(C(=O)OC2CCCC2)cc1
CC(C)Cc1ccc(C(=O)OC2CCCC2)cc1
CCc1ccc(C(=O)OC2CCCC2)cc1
CC(C)c1ccc(C(=O)OC2CCCC2)cc1
CCC(C)c1ccc(C(=O)OC2CCCC2)cc1
CC(C)(C)c1ccc(C(=O)OC2CCCC2)cc1
C=COc1ccc(C(=O)OC2CCCC2)cc1
COc1ccc(C(=O)OC2CCCC2)cc1
O=COc1ccc(C(=O)OC2CCCC2)cc1
O=C(OC1CCCC1)c1ccccc1-c1ccccc1
Cc1ccccc1-c1ccccc1C(=O)OC1CCCC1
Cc1ccc(-c2ccccc2C(=O)OC2CCCC2)cc1
CN(C)c1ccccc1C(=O)OC1CCCC1
CC(=O)c1ccccc1C(=O)OC1CCCC1
O=C(O)c1ccccc1C(=O)OC1CCCC1
O=C(OC1CCCC1)c1ccccc1C1CCCC1
O=C(OC1CCCC1)c1ccccc1C1CCCCC1
CCCc1ccccc1C(=O)OC1CCCC1
O=C(OC1CCCC1)c1ccccc1CO
CCCCc1ccccc1C(=O)OC1CCCC1
CC(C)Cc1ccccc1C(=O)OC1CCCC1
CCc1ccccc1C(=O)OC1CCCC1
CC(C)c1ccccc1C(=O)OC1CCCC1
CCC(C)c1ccccc1C(=O)OC1CCCC1
CC(C)(C)c1ccccc1C(=O)OC1CCCC1
C=COc1ccccc1C(=O)OC1CCCC1
COc1ccccc1C(=O)OC1CCCC1
O=COc1ccccc1C(=O)OC1CCCC1
C=COC(=O)CCCCCCCCC(=O)OC1CCCC1
COC(=O)CCCCCCCCC(=O)OC1CCCC1
O=COC(=O)CCCCCCCCC(=O)OC1CCCC1
CN(C)C(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCOC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(C)(CC)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCC(C)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCOC(=O)CCCCCCCCC(=O)OC1CCCC1
CCOC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCCCOC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)(C)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)COC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCCOC(=O)CCCCCCCCC(=O)OC1CCCC1
C=CCOC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(C)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(C)COC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(=O)OC(=O)CCCCCCCCC(=O)OC1CCCC1
C=CC(=O)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(=O)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCC(=O)OC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)C(=O)OC(=O)CCCCCCCCC(=O)OC1CCCC1
O=C(CCCCCCCCC(=O)OC1CCCC1)Oc1ccccc1
Cc1ccccc1OC(=O)CCCCCCCCC(=O)OC1CCCC1
Cc1ccc(OC(=O)CCCCCCCCC(=O)OC2CCCC2)cc1
O=C(CCCCCCCCC(=O)OC1CCCC1)OC1CCCC1
O=C(CCCCCCCCC(=O)OC1CCCC1)OC1CCCCC1
CCC(=O)NC(=O)CCCCCCCCC(=O)OC1CCCC1
C=CC(=O)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCCCCCCCCCCCCCCC(=O)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(=O)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCC(=O)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)C(=O)NC(=O)CCCCCCCCC(=O)OC1CCCC1
O=C(CCCCCCCCC(=O)OC1CCCC1)NC1CCCC1
O=C(CCCCCCCCC(=O)OC1CCCC1)NC1CCCCC1
CCCCNC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(C)(CC)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCC(C)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCNC(=O)CCCCCCCCC(=O)OC1CCCC1
CCNC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCCCNC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)(C)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)CNC(=O)CCCCCCCCC(=O)OC1CCCC1
CCCCCNC(=O)CCCCCCCCC(=O)OC1CCCC1
C=CCNC(=O)CCCCCCCCC(=O)OC1CCCC1
CC(C)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(C)NC(=O)CCCCCCCCC(=O)OC1CCCC1
CCC(C)CNC(=O)CCCCCCCCC(=O)OC1CCCC1
O=C(CCCCCCCCC(=O)OC1CCCC1)Nc1ccccc1
Cc1ccccc1NC(=O)CCCCCCCCC(=O)OC1CCCC1
Cc1ccc(NC(=O)CCCCCCCCC(=O)OC2CCCC2)cc1
